Time,Position,Velocity,Angle,Voltage,Current
1.1986359999999996,11.0,0.0,99.56896551724138,0.0,0.125
1.4688869999999996,12.0,0.0,99.62068965517241,0.0,0.125
1.5042900000000001,12.0,0.0,99.62068965517241,0.0,0.125
1.536853999999999,11.0,0.0,99.56896551724138,0.0,0.125
1.5700809999999992,11.0,0.0,99.56896551724138,0.0,0.125
1.597404,12.0,0.0,99.62068965517241,0.0,0.125
1.6238280000000005,11.0,0.0,99.56896551724138,0.0,0.125
1.6436090000000005,12.0,0.0,99.62068965517241,0.0,0.125
1.6724260000000006,11.0,0.0,99.56896551724138,0.0,0.125
1.7004609999999998,13.0,0.0,99.67241379310344,0.0,0.125
1.7284920000000001,12.0,0.0,99.62068965517241,0.0,0.125
1.7503219999999997,12.0,0.0,99.62068965517241,0.0,0.125
1.770001999999999,11.0,0.0,99.56896551724138,0.0,0.125
1.7994960000000004,11.0,0.0,99.56896551724138,0.0,0.125
1.8231039999999998,11.0,0.0,99.56896551724138,0.0,0.125
1.8509179999999992,12.0,0.0,99.62068965517241,0.0,0.125
1.8800879999999998,11.0,0.0,99.56896551724138,0.0,0.125
1.9121139999999999,12.0,0.0,99.62068965517241,0.0,0.125
1.9376760000000006,12.0,0.0,99.62068965517241,0.0,0.125
1.978523,12.0,0.0,99.62068965517241,0.0,0.125
2.018432999999999,11.0,0.0,99.56896551724138,0.0,0.125
2.0406629999999994,12.0,0.0,99.62068965517241,0.0,0.125
2.0625159999999996,12.0,0.0,99.62068965517241,0.0,0.125
2.088024999999999,11.0,0.0,99.56896551724138,0.0,0.125
2.1166209999999994,11.0,0.0,99.56896551724138,0.0,0.125
2.1396050000000004,12.0,0.0,99.62068965517241,0.0,0.125
2.165325,12.0,0.0,99.62068965517241,0.0,0.125
2.196079,12.0,0.0,99.62068965517241,0.0,0.125
2.218723,12.0,0.0,99.62068965517241,0.0,0.125
2.241307,11.0,0.0,99.56896551724138,0.0,0.125
2.268021,11.0,0.0,99.56896551724138,0.0,0.125
2.289613,12.0,0.0,99.62068965517241,0.0,0.125
2.3206750000000005,11.0,0.0,99.56896551724138,0.0,0.125
2.3436890000000004,11.0,0.0,99.56896551724138,0.0,0.125
2.362505999999999,12.0,0.0,99.62068965517241,0.0,0.125
2.3857030000000004,11.0,0.0,99.56896551724138,0.0,0.125
2.4179679999999992,12.0,0.0,99.62068965517241,0.0,0.125
2.462915999999999,12.0,0.0,99.62068965517241,0.0,0.125
2.4835450000000003,11.0,0.0,99.56896551724138,0.0,0.125
2.5156739999999997,13.0,0.0,99.67241379310344,0.0,0.125
2.5408040000000005,11.0,0.0,99.56896551724138,0.0,0.125
2.5649609999999994,13.0,0.0,99.67241379310344,0.0,0.125
2.582508,11.0,0.0,99.56896551724138,0.0,0.125
2.6144690000000006,10.0,0.0,99.51724137931035,0.0,0.125
2.638051999999999,12.0,0.0,99.62068965517241,0.0,0.125
2.664471,11.0,0.0,99.56896551724138,0.0,0.125
2.6949820000000004,12.0,0.0,99.62068965517241,0.0,0.125
2.7240910000000005,11.0,0.0,99.56896551724138,0.0,0.125
2.7597949999999996,12.0,0.0,99.62068965517241,0.0,0.125
2.783383999999999,11.0,0.0,99.56896551724138,0.0,0.125
2.8214870000000003,12.0,0.0,99.62068965517241,0.0,0.125
2.837338999999999,11.0,0.0,99.56896551724138,0.0,0.125
2.851323999999999,11.0,0.0,99.56896551724138,0.0,0.125
2.8869239999999996,12.0,0.0,99.62068965517241,0.0,0.125
2.918743,12.0,0.0,99.62068965517241,0.0,0.125
2.9387110000000005,11.0,0.0,99.56896551724138,0.0,0.125
2.957275,12.0,0.0,99.62068965517241,0.0,0.125
2.976838999999999,12.0,0.0,99.62068965517241,0.0,0.125
3.0007659999999996,0.0,0.0,99.05172413793103,0.0,0.125
3.033345999999999,-1.0,0.0,98.94827586206897,0.0,0.125
3.0681769999999995,1.0,0.0,99.05172413793103,0.0,0.125
3.0975729999999997,0.0,0.0,99.0,0.0,0.125
3.1237719999999998,0.0,0.0,99.0,0.0,0.125
3.1383769999999993,0.0,0.0,99.0,0.0,0.125
3.1578240000000006,1.0,0.0,99.05172413793103,0.0,0.125
3.1782899999999996,0.0,0.0,99.0,0.0,0.125
3.2058489999999997,0.0,0.0,99.0,0.0,0.125
3.2354499999999993,-1.0,0.0,98.94827586206897,0.0,0.125
3.260421,0.0,0.0,99.0,0.0,0.125
3.302174999999999,1.0,0.0,99.05172413793103,0.0,0.125
3.341546,0.0,0.0,99.0,0.0,0.125
3.384892999999999,-1.0,0.0,98.94827586206897,0.0,0.125
3.4180599999999997,-1.0,0.0,98.94827586206897,0.0,0.125
3.4631429999999996,1.0,0.0,99.05172413793103,0.0,0.125
3.4842780000000007,1.0,0.0,99.05172413793103,0.0,0.125
3.514366999999999,0.0,0.0,99.0,0.0,0.125
3.54127,0.0,0.0,99.0,0.0,0.125
3.5665109999999993,1.0,0.0,99.05172413793103,0.0,0.125
3.590872,0.0,0.0,99.0,0.0,0.125
3.6184450000000004,0.0,0.0,99.0,0.0,0.125
3.641189,-1.0,0.0,98.94827586206897,0.0,0.125
3.6599809999999993,-1.0,0.0,98.94827586206897,0.0,0.125
3.6793070000000005,0.0,0.0,99.0,0.0,0.125
3.697487999999999,-1.0,0.0,98.94827586206897,0.0,0.125
3.716964999999999,2.0,0.0,99.10344827586206,0.0,0.125
3.740436999999999,-1.0,0.0,98.94827586206897,0.0,0.125
3.759894,-1.0,0.0,98.94827586206897,0.0,0.125
3.7792190000000003,0.0,0.0,99.0,0.0,0.125
